ID,Segmentation
458989,2
458994,3
458996,1
459000,3
459001,4
459003,3
459005,1
459008,3
459013,3
459014,4
459015,4
459016,4
459024,3
459026,4
459032,4
459033,2
459036,1
459039,3
459041,2
459045,3
459056,2
459057,2
459058,1
459059,2
459061,1
459064,4
459065,2
459074,3
459077,1
459079,1
459080,1
459083,3
459090,4
459091,3
459093,3
459100,2
459106,3
459114,3
459116,3
459117,3
459118,4
459119,3
459120,4
459121,3
459123,2
459130,1
459132,4
459136,3
459140,4
459143,2
459144,2
459145,1
459150,1
459160,3
459161,3
459162,3
459163,1
459167,2
459170,1
459171,3
459172,4
459175,3
459181,2
459182,3
459184,1
459185,1
459193,1
459194,3
459196,4
459208,3
459209,4
459210,3
459212,3
459213,1
459216,1
459220,3
459221,1
459222,3
459223,3
459224,3
459227,1
459229,3
459236,1
459237,4
459244,2
459247,3
459258,3
459263,4
459264,1
459266,4
459270,2
459284,3
459287,1
459288,3
459289,1
459290,3
459292,2
459293,4
459296,3
459300,3
459307,1
459310,1
459316,1
459318,4
459320,4
459322,1
459323,4
459338,4
459339,2
459344,3
459347,1
459349,3
459352,3
459353,3
459354,3
459355,1
459360,4
459361,1
459362,1
459363,2
459364,2
459369,1
459375,1
459377,3
459383,4
459384,3
459385,3
459386,2
459391,4
459394,4
459397,3
459398,3
459401,4
459403,3
459405,2
459407,1
459409,3
459410,3
459412,3
459413,3
459415,4
459418,2
459419,3
459420,2
459421,4
459422,1
459423,4
459424,1
459428,4
459432,1
459436,2
459439,3
459445,3
459447,2
459449,3
459451,3
459456,4
459458,4
459459,2
459461,1
459464,1
459466,3
459467,3
459469,4
459471,4
459480,1
459481,1
459482,4
459485,3
459496,1
459497,2
459499,1
459503,3
459505,1
459507,2
459509,4
459512,3
459515,2
459516,3
459518,3
459535,3
459536,4
459538,1
459541,3
459549,4
459555,1
459558,4
459564,4
459566,2
459567,3
459571,3
459576,1
459579,2
459581,1
459582,1
459583,2
459585,3
459587,1
459588,2
459591,3
459592,4
459594,2
459597,3
459603,1
459607,2
459608,1
459612,4
459616,4
459617,4
459618,3
459621,4
459625,2
459626,1
459632,4
459644,1
459652,1
459658,3
459664,1
459665,1
459672,2
459673,1
459678,4
459680,1
459686,2
459691,3
459692,3
459693,3
459699,3
459701,4
459710,2
459711,2
459712,4
459713,4
459715,4
459718,2
459725,3
459727,1
459740,4
459742,1
459745,1
459746,3
459747,3
459748,2
459755,3
459756,1
459760,2
459763,4
459767,4
459771,1
459779,1
459780,1
459785,1
459793,3
459795,2
459801,1
459804,2
459806,2
459808,2
459815,1
459816,3
459819,2
459821,2
459822,1
459825,4
459827,1
459832,2
459845,4
459851,1
459853,4
459856,3
459857,1
459861,1
459864,2
459866,2
459867,3
459869,4
459871,1
459885,1
459886,4
459887,3
459889,3
459897,3
459909,2
459910,2
459911,4
459914,1
459923,1
459925,4
459937,1
459943,1
459945,3
459946,3
459949,2
459953,2
459961,1
459962,2
459966,4
459968,1
459970,1
459973,2
459974,1
459975,1
459981,1
459986,2
459995,1
459996,1
459998,2
460004,2
460006,4
460014,1
460023,1
460027,1
460033,3
460036,1
460040,2
460045,2
460046,3
460050,1
460051,1
460052,2
460058,2
460059,1
460061,4
460066,4
460068,1
460073,2
460075,1
460079,1
460081,3
460088,4
460090,1
460093,2
460095,1
460097,1
460099,2
460101,4
460103,1
460105,2
460106,1
460107,3
460108,3
460109,3
460110,2
460112,3
460116,3
460118,3
460119,4
460122,1
460124,1
460126,4
460134,2
460135,4
460140,3
460141,1
460144,2
460146,3
460147,3
460157,1
460160,1
460162,4
460166,4
460167,3
460168,3
460171,3
460174,1
460175,4
460177,2
460179,2
460183,4
460185,4
460187,1
460189,4
460190,4
460192,1
460196,4
460206,2
460211,1
460212,4
460214,3
460222,3
460223,1
460227,4
460242,4
460243,1
460247,4
460248,4
460252,3
460263,3
460265,3
460270,1
460272,4
460275,2
460276,3
460281,4
460283,1
460284,4
460287,2
460289,3
460298,1
460303,1
460305,1
460306,4
460310,4
460315,1
460319,1
460322,1
460323,1
460324,1
460327,1
460333,1
460336,1
460340,2
460341,4
460344,3
460346,3
460348,1
460349,3
460354,1
460356,4
460358,4
460361,2
460362,4
460365,2
460369,3
460370,3
460371,1
460378,1
460379,1
460380,4
460381,1
460384,4
460387,1
460388,1
460389,3
460390,1
460392,1
460394,4
460397,1
460399,4
460401,1
460404,1
460405,1
460406,4
460408,1
460409,1
460415,1
460422,3
460431,1
460434,3
460437,1
460440,4
460443,1
460447,1
460449,4
460450,3
460453,1
460454,2
460457,1
460459,4
460460,4
460467,3
460470,4
460476,2
460477,4
460484,4
460485,4
460489,4
460492,4
460495,4
460504,2
460505,1
460507,4
460508,4
460518,2
460522,3
460541,3
460542,1
460545,1
460546,1
460547,3
460549,1
460550,3
460551,3
460555,3
460556,1
460558,2
460561,1
460563,4
460566,3
460571,4
460572,1
460574,1
460582,1
460583,4
460585,4
460586,4
460588,4
460597,4
460598,3
460605,1
460606,4
460612,3
460615,4
460618,1
460619,1
460621,1
460622,3
460626,2
460627,4
460633,3
460634,4
460637,4
460638,1
460639,4
460640,1
460645,1
460646,1
460653,4
460656,2
460658,3
460659,3
460660,1
460661,4
460668,1
460678,1
460686,4
460687,3
460691,4
460702,2
460703,4
460706,4
460708,3
460716,3
460719,3
460720,3
460722,1
460726,3
460727,2
460729,1
460733,4
460734,2
460738,1
460740,3
460743,3
460746,4
460763,2
460769,1
460780,4
460783,1
460785,4
460789,3
460794,4
460796,3
460802,3
460811,2
460813,2
460815,3
460822,3
460825,4
460828,1
460830,2
460831,4
460837,1
460838,1
460840,1
460844,4
460846,4
460847,1
460851,2
460855,2
460857,1
460859,1
460860,3
460861,4
460866,4
460870,4
460871,4
460872,1
460877,3
460878,3
460882,4
460888,1
460891,2
460897,4
460898,3
460899,1
460901,4
460902,1
460905,1
460906,1
460907,1
460923,3
460924,4
460928,3
460934,4
460935,4
460945,4
460953,1
460961,4
460962,3
460963,4
460968,1
460975,3
460976,4
460977,3
460979,4
460981,1
460984,3
460988,3
460989,4
460991,4
460993,3
460999,4
461000,1
461001,2
461015,3
461016,4
461022,1
461023,2
461024,4
461028,4
461029,1
461034,4
461037,4
461038,1
461041,1
461042,4
461043,4
461044,4
461049,1
461050,3
461053,4
461059,1
461060,3
461065,2
461071,2
461078,4
461082,4
461085,1
461093,3
461099,4
461111,1
461114,3
461116,4
461118,4
461119,4
461121,4
461124,4
461127,4
461128,4
461129,2
461131,3
461145,2
461152,4
461154,4
461158,1
461162,4
461163,2
461168,1
461169,1
461174,4
461177,2
461178,1
461179,1
461181,4
461183,4
461187,4
461197,4
461198,4
461201,2
461205,4
461211,1
461214,4
461215,1
461218,4
461220,4
461221,4
461225,4
461226,3
461230,4
461232,3
461233,1
461236,4
461237,1
461241,4
461242,4
461243,4
461248,4
461251,4
461252,2
461256,4
461257,3
461258,3
461262,1
461263,2
461265,4
461269,4
461274,3
461276,4
461277,1
461281,4
461286,4
461289,4
461292,1
461297,1
461299,3
461303,4
461308,4
461309,4
461313,3
461314,3
461319,3
461320,1
461322,3
461323,3
461324,2
461326,1
461335,3
461340,3
461346,2
461348,4
461350,4
461352,4
461356,1
461357,4
461363,2
461366,4
461370,4
461377,2
461378,1
461379,4
461383,3
461388,4
461397,4
461402,4
461408,4
461421,3
461423,4
461426,3
461428,2
461432,3
461437,3
461439,3
461441,3
461442,3
461454,3
461456,1
461457,1
461458,1
461462,4
461465,3
461466,1
461468,3
461469,3
461476,3
461479,3
461480,3
461482,2
461494,1
461501,2
461503,1
461510,3
461514,4
461516,1
461518,3
461521,3
461522,2
461525,1
461526,1
461530,2
461534,2
461540,1
461546,1
461548,4
461553,1
461556,3
461558,3
461564,3
461570,3
461574,3
461587,4
461593,3
461602,1
461604,2
461612,4
461615,1
461617,2
461619,3
461624,3
461626,3
461630,3
461637,1
461644,4
461653,3
461655,1
461658,3
461659,3
461661,3
461663,4
461668,3
461671,4
461674,3
461676,1
461679,4
461681,4
461683,3
461685,4
461686,3
461690,1
461694,4
461695,3
461698,3
461701,2
461705,4
461708,1
461709,4
461711,1
461716,3
461720,2
461722,4
461724,2
461725,1
461727,2
461737,3
461738,3
461744,3
461747,3
461749,4
461752,3
461756,3
461760,3
461769,1
461771,1
461775,1
461778,3
461780,1
461782,3
461784,1
461788,3
461791,4
461792,4
461800,2
461801,4
461802,1
461804,1
461807,4
461815,1
461816,1
461821,4
461822,3
461824,4
461832,4
461837,3
461845,3
461846,2
461848,4
461858,4
461859,1
461860,3
461862,1
461864,4
461872,3
461873,4
461874,3
461882,4
461892,4
461896,2
461898,3
461899,4
461901,4
461910,2
461913,1
461914,3
461921,1
461927,4
461928,4
461929,1
461930,1
461931,4
461936,2
461937,1
461941,2
461943,4
461962,3
461963,1
461965,4
461967,3
461968,1
461978,4
461985,4
461988,2
461989,2
461993,4
461994,4
461996,4
461999,4
462007,3
462011,4
462013,3
462015,1
462016,3
462017,1
462027,1
462029,1
462033,1
462038,4
462043,4
462044,2
462048,4
462051,4
462052,3
462053,1
462058,1
462060,3
462064,3
462068,3
462075,1
462078,2
462080,1
462081,4
462083,4
462084,2
462085,4
462088,2
462090,1
462091,4
462094,4
462096,1
462102,1
462103,1
462108,4
462109,4
462111,3
462114,4
462116,3
462118,4
462120,1
462128,3
462131,1
462134,1
462141,1
462149,4
462151,1
462163,3
462168,3
462171,2
462172,3
462174,4
462177,1
462179,4
462180,2
462186,4
462187,2
462188,2
462196,4
462197,1
462198,1
462200,2
462202,1
462203,1
462204,4
462205,4
462209,4
462210,1
462211,4
462214,1
462216,1
462218,2
462220,4
462222,4
462229,4
462231,4
462232,1
462234,4
462238,1
462240,1
462243,4
462246,1
462249,4
462256,2
462257,3
462260,1
462262,4
462274,3
462275,3
462278,4
462279,4
462280,4
462281,2
462284,3
462285,1
462286,3
462290,1
462291,4
462297,1
462300,3
462304,2
462306,1
462309,4
462310,3
462323,3
462336,1
462339,4
462340,2
462342,3
462345,3
462346,4
462349,3
462355,1
462356,4
462358,2
462365,1
462368,1
462370,3
462381,2
462382,3
462384,1
462386,4
462389,1
462395,3
462396,3
462397,3
462400,1
462401,4
462409,1
462411,1
462415,4
462420,4
462421,2
462423,2
462424,1
462428,3
462429,1
462445,4
462446,4
462447,4
462450,4
462451,4
462452,4
462454,4
462456,4
462457,4
462463,3
462472,1
462473,1
462485,1
462488,4
462491,4
462492,2
462496,3
462498,3
462503,3
462508,4
462512,1
462517,1
462518,1
462519,4
462521,4
462522,4
462524,1
462525,3
462526,3
462529,2
462531,2
462533,4
462538,3
462541,2
462542,3
462543,1
462545,4
462554,4
462561,3
462563,3
462566,1
462577,4
462578,3
462580,1
462584,4
462587,1
462589,4
462595,4
462596,4
462600,4
462607,1
462609,4
462611,4
462612,2
462613,2
462615,4
462617,4
462619,1
462625,4
462626,1
462632,1
462637,4
462643,2
462654,1
462658,1
462668,1
462669,2
462678,3
462680,3
462683,1
462685,4
462687,4
462692,2
462696,2
462697,3
462702,2
462704,3
462705,3
462716,4
462720,4
462722,4
462723,2
462727,2
462729,4
462731,3
462732,2
462735,1
462736,1
462738,4
462739,2
462743,4
462746,4
462747,4
462752,4
462755,4
462756,4
462761,4
462762,3
462767,4
462768,3
462776,3
462785,2
462788,3
462792,2
462799,1
462804,1
462807,4
462810,2
462814,4
462817,1
462819,3
462823,1
462824,1
462826,4
462827,4
462834,4
462838,2
462841,4
462845,3
462849,3
462850,4
462853,4
462854,4
462858,4
462861,4
462866,1
462868,1
462869,1
462871,2
462872,1
462874,3
462887,1
462890,4
462891,4
462894,3
462900,3
462903,3
462905,4
462914,4
462920,2
462923,1
462925,1
462927,4
462936,1
462941,4
462944,3
462951,4
462956,2
462958,4
462963,3
462966,3
462968,1
462971,3
462976,3
462981,4
462982,2
462983,3
462984,3
462986,4
462992,2
462993,4
462994,2
462998,3
463003,3
463012,1
463020,1
463023,1
463024,1
463028,4
463030,3
463034,4
463037,3
463039,2
463040,1
463044,1
463047,4
463051,4
463052,4
463058,4
463062,3
463069,1
463075,3
463080,4
463083,1
463085,1
463086,1
463088,3
463089,3
463090,2
463091,4
463094,2
463096,4
463099,1
463100,4
463102,4
463104,1
463106,3
463108,3
463118,3
463120,1
463129,1
463133,3
463138,4
463144,3
463145,2
463146,2
463148,3
463149,3
463150,4
463151,1
463154,4
463156,2
463157,1
463158,3
463163,4
463164,3
463165,3
463166,1
463170,4
463171,1
463173,2
463174,2
463175,1
463181,3
463187,3
463192,1
463195,4
463196,2
463199,1
463201,4
463203,4
463204,1
463209,2
463218,2
463219,1
463220,3
463221,4
463224,3
463240,2
463242,4
463244,1
463245,2
463248,1
463251,4
463256,4
463258,3
463260,4
463265,3
463266,3
463267,1
463269,2
463270,4
463273,2
463276,2
463277,1
463278,2
463280,3
463292,2
463302,2
463308,1
463316,2
463323,4
463324,4
463330,4
463332,2
463334,4
463335,1
463338,4
463340,4
463341,1
463348,1
463351,4
463356,4
463360,2
463367,1
463368,3
463372,1
463375,2
463376,3
463378,1
463379,4
463386,2
463387,4
463391,2
463395,4
463404,2
463406,4
463409,2
463411,2
463420,3
463423,2
463427,1
463428,4
463431,3
463437,3
463438,2
463443,3
463444,3
463447,3
463452,3
463460,3
463461,4
463462,2
463470,4
463472,4
463473,4
463475,2
463477,4
463483,4
463491,1
463493,3
463499,1
463500,3
463503,1
463508,1
463509,1
463512,4
463516,2
463527,1
463528,2
463529,1
463533,3
463537,4
463545,4
463548,4
463550,3
463553,1
463554,1
463557,4
463560,4
463561,1
463566,3
463572,3
463577,3
463586,4
463588,4
463598,1
463601,4
463603,3
463605,4
463606,3
463614,3
463615,3
463616,1
463619,2
463620,4
463623,4
463624,3
463628,1
463632,3
463638,4
463639,4
463640,4
463644,4
463652,1
463654,1
463655,2
463661,3
463663,1
463664,1
463665,3
463669,1
463670,4
463689,3
463699,2
463703,2
463704,2
463707,1
463713,4
463714,1
463716,4
463718,4
463722,3
463724,4
463726,4
463727,4
463728,2
463732,4
463734,2
463741,3
463745,3
463747,3
463748,4
463753,4
463756,2
463761,1
463764,3
463766,3
463767,1
463768,1
463774,1
463776,3
463782,1
463783,4
463784,4
463785,4
463786,3
463790,4
463792,1
463794,4
463799,1
463800,4
463804,2
463807,1
463811,2
463814,4
463816,2
463818,2
463819,1
463821,1
463825,3
463827,2
463828,2
463830,4
463834,2
463835,4
463842,2
463847,2
463856,3
463857,2
463859,3
463865,3
463877,1
463880,2
463884,4
463891,4
463892,1
463904,4
463917,4
463923,4
463924,2
463926,4
463931,3
463932,3
463941,4
463943,1
463946,4
463948,2
463951,2
463955,1
463958,4
463961,1
463963,4
463966,1
463978,3
463980,3
463981,1
463983,1
463986,4
463997,2
464000,3
464004,4
464007,3
464009,3
464010,4
464013,4
464016,1
464019,4
464021,4
464023,4
464030,4
464031,4
464032,4
464033,4
464039,1
464042,3
464046,4
464048,4
464049,4
464053,2
464054,3
464059,2
464063,1
464066,4
464067,1
464068,2
464071,1
464072,2
464076,1
464084,3
464087,4
464089,3
464096,3
464099,3
464103,3
464110,3
464112,4
464115,4
464118,1
464121,2
464123,1
464127,2
464132,4
464137,3
464139,4
464144,3
464152,3
464162,1
464167,3
464169,1
464172,3
464173,3
464175,4
464176,2
464179,3
464180,1
464182,3
464183,1
464185,3
464195,1
464200,4
464202,1
464204,3
464205,2
464206,1
464211,3
464212,3
464216,3
464217,4
464223,3
464226,3
464231,3
464232,4
464246,3
464254,3
464255,3
464257,2
464265,1
464269,1
464270,2
464271,3
464274,3
464276,1
464283,1
464286,3
464287,3
464289,4
464292,3
464297,1
464298,4
464308,3
464318,4
464320,1
464326,1
464332,2
464339,4
464344,2
464351,4
464364,3
464368,3
464370,3
464373,2
464378,3
464381,3
464382,3
464386,3
464387,4
464389,3
464392,3
464396,2
464412,4
464424,4
464425,1
464432,4
464433,1
464436,1
464437,2
464441,1
464451,3
464456,4
464468,3
464473,3
464474,2
464478,1
464481,3
464482,2
464483,3
464485,1
464487,1
464488,3
464494,3
464499,3
464501,4
464504,4
464506,4
464517,3
464522,1
464526,3
464528,2
464533,2
464536,2
464540,2
464544,2
464549,3
464550,3
464552,3
464553,2
464555,4
464560,1
464561,1
464566,3
464569,4
464570,1
464572,4
464576,4
464577,4
464580,4
464581,4
464586,2
464593,1
464594,1
464597,1
464601,4
464603,1
464606,3
464607,3
464608,3
464618,2
464620,3
464621,2
464637,4
464641,4
464652,4
464654,1
464664,2
464666,2
464670,1
464673,2
464674,2
464675,4
464677,4
464683,2
464684,1
464685,4
464688,4
464690,1
464691,2
464692,4
464693,1
464695,4
464696,1
464697,3
464699,4
464701,1
464704,2
464707,1
464711,3
464712,1
464722,2
464726,1
464728,2
464732,1
464737,1
464739,2
464746,4
464752,4
464755,3
464756,4
464758,2
464760,2
464765,1
464766,2
464769,2
464772,1
464774,2
464780,4
464790,1
464792,4
464794,1
464799,4
464802,1
464804,1
464806,4
464809,2
464812,2
464813,3
464817,1
464818,1
464825,4
464827,1
464828,4
464831,4
464832,4
464835,4
464836,4
464845,1
464849,3
464851,4
464852,4
464854,2
464857,4
464861,2
464864,4
464865,1
464868,1
464872,1
464873,3
464876,2
464879,1
464884,2
464885,1
464886,2
464902,1
464905,1
464907,2
464910,3
464911,3
464915,3
464916,4
464919,1
464920,1
464921,1
464925,1
464927,3
464932,4
464938,1
464939,1
464940,1
464944,2
464947,1
464957,4
464960,4
464961,4
464963,2
464972,1
464973,1
464981,3
464987,3
464990,2
464991,3
464995,1
465001,1
465005,3
465012,2
465014,1
465022,3
465023,3
465026,4
465032,3
465035,3
465038,2
465039,2
465040,3
465045,3
465056,1
465069,3
465075,3
465076,3
465079,1
465082,1
465087,4
465091,3
465092,3
465093,1
465095,3
465099,2
465100,3
465101,1
465105,2
465109,4
465111,3
465112,2
465113,3
465119,3
465120,4
465121,2
465122,3
465124,1
465128,3
465134,2
465136,3
465144,1
465147,4
465148,4
465150,1
465153,3
465155,4
465160,3
465164,4
465171,3
465172,3
465175,4
465176,3
465181,4
465182,2
465186,2
465187,4
465188,3
465189,3
465194,4
465196,1
465197,3
465201,3
465202,4
465203,4
465204,4
465213,2
465214,4
465216,3
465226,1
465228,3
465231,3
465236,2
465237,3
465242,4
465249,4
465254,4
465261,4
465264,4
465267,2
465274,1
465285,1
465288,1
465289,1
465290,3
465294,4
465295,3
465296,3
465303,3
465306,2
465310,4
465319,4
465326,1
465333,1
465335,3
465340,4
465342,3
465344,3
465345,1
465351,3
465352,3
465354,4
465357,3
465358,3
465359,1
465364,1
465366,1
465371,1
465372,1
465383,2
465384,3
465391,3
465393,3
465395,2
465399,1
465405,1
465408,4
465410,4
465417,3
465419,4
465423,3
465428,1
465433,2
465435,1
465437,3
465440,1
465441,2
465445,4
465458,3
465461,3
465463,4
465464,3
465467,4
465471,2
465472,2
465473,2
465477,4
465479,1
465482,4
465483,3
465484,3
465488,4
465489,1
465492,1
465496,1
465505,3
465507,1
465508,4
465510,1
465518,3
465520,1
465521,3
465522,2
465529,4
465538,3
465539,3
465541,3
465543,1
465547,1
465550,4
465551,3
465554,1
465555,4
465558,4
465568,3
465569,3
465571,2
465577,4
465584,2
465586,1
465587,1
465594,4
465598,4
465600,2
465601,3
465602,4
465603,2
465605,2
465611,2
465612,3
465616,3
465621,1
465625,1
465627,4
465629,3
465635,1
465638,2
465640,3
465644,4
465645,1
465649,1
465651,4
465653,3
465655,2
465656,4
465658,3
465663,2
465667,4
465668,4
465669,1
465670,1
465675,1
465680,1
465685,4
465688,3
465689,4
465695,4
465697,1
465703,1
465704,1
465705,3
465706,3
465721,4
465722,1
465725,1
465727,4
465728,1
465733,1
465734,1
465736,2
465737,4
465740,1
465742,3
465751,3
465753,3
465766,1
465768,1
465769,4
465772,2
465775,4
465776,1
465777,4
465784,4
465788,4
465793,4
465797,3
465804,1
465809,1
465811,3
465813,4
465818,4
465823,4
465826,4
465828,4
465829,1
465830,1
465831,4
465837,2
465841,1
465848,4
465849,1
465851,1
465853,1
465857,1
465860,4
465863,4
465865,4
465866,3
465867,3
465873,4
465875,1
465884,3
465893,2
465894,4
465907,4
465916,1
465923,4
465925,4
465927,4
465930,1
465931,1
465935,4
465937,4
465941,1
465948,3
465953,2
465957,4
465960,4
465961,1
465963,2
465965,1
465972,4
465974,3
465975,1
465976,1
465979,3
465982,2
465983,4
465996,4
465997,4
466001,2
466007,1
466017,2
466019,2
466020,4
466022,2
466023,2
466024,1
466032,4
466042,1
466043,3
466046,1
466058,1
466069,3
466071,1
466078,1
466079,1
466082,4
466083,4
466084,1
466085,4
466088,4
466090,1
466092,3
466099,2
466103,1
466109,3
466111,1
466114,3
466115,1
466118,1
466124,2
466128,1
466130,4
466132,4
466136,1
466138,2
466140,1
466141,2
466142,1
466143,2
466146,2
466148,2
466149,4
466153,3
466154,3
466156,3
466157,2
466161,3
466162,2
466166,2
466172,3
466178,3
466180,4
466185,3
466200,2
466201,3
466206,3
466207,3
466208,2
466210,3
466211,2
466213,4
466218,4
466223,2
466225,4
466226,3
466233,3
466235,3
466236,1
466238,4
466246,4
466247,2
466253,4
466257,4
466264,1
466268,3
466271,4
466274,2
466276,4
466278,4
466282,4
466285,4
466286,3
466287,3
466289,4
466290,4
466292,1
466297,4
466300,2
466301,3
466306,4
466313,2
466315,2
466317,1
466318,4
466319,4
466320,1
466321,1
466324,1
466326,4
466335,4
466337,1
466341,3
466347,1
466352,2
466355,4
466367,2
466370,2
466372,3
466373,2
466376,2
466377,3
466380,1
466381,3
466382,2
466387,2
466389,3
466391,2
466392,3
466393,2
466395,1
466397,4
466400,2
466401,2
466402,3
466404,1
466406,1
466408,1
466411,3
466414,1
466418,1
466419,2
466422,4
466427,4
466429,1
466443,2
466450,4
466455,4
466456,1
466457,3
466463,4
466464,3
466466,4
466467,3
466468,4
466474,1
466478,3
466483,4
466486,1
466488,3
466490,2
466493,1
466500,2
466501,3
466502,4
466516,4
466517,1
466526,4
466527,4
466530,4
466533,1
466535,1
466536,4
466538,1
466541,1
466543,1
466545,4
466550,4
466552,1
466553,4
466556,4
466562,4
466564,4
466565,2
466576,4
466586,4
466588,4
466596,3
466603,2
466606,2
466613,4
466623,2
466628,4
466631,3
466634,4
466635,3
466644,2
466650,4
466652,3
466655,1
466656,3
466658,4
466662,1
466665,3
466666,4
466671,4
466686,4
466687,4
466688,4
466689,1
466696,3
466704,3
466705,3
466707,2
466713,3
466718,3
466720,1
466721,3
466725,1
466731,1
466732,2
466733,2
466735,4
466746,3
466749,4
466750,4
466751,4
466752,4
466753,3
466754,3
466759,4
466760,3
466765,2
466769,4
466775,3
466776,4
466777,3
466778,1
466788,4
466790,3
466791,4
466792,4
466795,3
466799,4
466802,1
466804,1
466807,4
466808,1
466810,4
466811,4
466813,3
466814,4
466815,4
466816,3
466818,2
466826,1
466832,3
466833,2
466846,4
466863,4
466867,4
466871,3
466874,2
466884,1
466886,4
466891,1
466905,2
466906,2
466908,1
466909,2
466910,1
466917,1
466918,3
466920,4
466923,4
466926,4
466927,4
466936,2
466938,2
466939,1
466951,3
466954,3
466955,1
466956,2
466961,3
466966,3
466967,2
466970,1
466971,1
466975,3
466990,3
466996,1
466998,3
466999,4
467000,4
467008,3
467009,4
467022,4
467023,1
467025,4
467044,1
467046,4
