month,year,leadsource,city,model,email_delivered,email_open,email_click,sms_delivered
06,2021,"",Ahmedabad,BRIO,,,,21
06,2021,"",Ahmedabad,CITY,,,,21
06,2021,"",CHENNAI,AMAZE Petrol,,,,21
06,2021,"",Kaushambi,JAZZ PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),"",5TH GEN CITY DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),"",5TH GEN CITY PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),"",ACCORD,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),"",ACCORD HYBRID,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),"",AMAZE Diesel,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),"",AMAZE Petrol,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),"",BR-V DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),"",BR-V PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),"",BRIO,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),"",CITY,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),"",CITY DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),"",CITY PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),"",CIVIC,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),"",CIVIC DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),"",CIVIC PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),"",CR-V,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),"",CR-V Diesel,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),"",CR-V Petrol,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),"",JAZZ,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),"",JAZZ DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),"",JAZZ PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),"",MOBILIO,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),"",MOBILIO DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),"",MOBILIO PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),"",WR-V DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),"",WR-V PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM), Bangalore,AMAZE Diesel,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),24 Parganas,AMAZE Diesel,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),24 Parganas,AMAZE Petrol,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),24 Parganas,BR-V DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),24 Parganas,BR-V PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),24 Parganas,BRIO,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),24 Parganas,CITY DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),24 Parganas,CITY PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),24 Parganas,JAZZ PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),24 Parganas,MOBILIO DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),24 Parganas,MOBILIO PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),24 Parganas,WR-V DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),ACHANTA,AMAZE Diesel,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),ACHANTA,BRIO,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),ACHANTA,JAZZ DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),AHMEDABAD,5TH GEN CITY PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),AHMEDABAD,ACCORD,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),AHMEDABAD,ACCORD HYBRID,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),AHMEDABAD,AMAZE Diesel,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),AHMEDABAD,AMAZE Petrol,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),AHMEDABAD,BR-V DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),AHMEDABAD,BR-V PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),AHMEDABAD,BRIO,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),AHMEDABAD,CITY,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),AHMEDABAD,CITY DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),AHMEDABAD,CITY PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),AHMEDABAD,CIVIC DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),AHMEDABAD,CIVIC PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),AHMEDABAD,CR-V,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),AHMEDABAD,CR-V Diesel,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),AHMEDABAD,CR-V Petrol,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),AHMEDABAD,JAZZ DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),AHMEDABAD,JAZZ PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),AHMEDABAD,MOBILIO DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),AHMEDABAD,MOBILIO PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),AHMEDABAD,WR-V DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),AHMEDABAD,WR-V PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),AMRITSAR,CITY PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),ANKLESHWAR,AMAZE Diesel,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),ANKLESHWAR,AMAZE Petrol,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),ANKLESHWAR,BR-V DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),ANKLESHWAR,BR-V PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),ANKLESHWAR,BRIO,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),ANKLESHWAR,CITY,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),ANKLESHWAR,CITY DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),ANKLESHWAR,CITY PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),ANKLESHWAR,CR-V,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),ANKLESHWAR,JAZZ DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),ANKLESHWAR,JAZZ PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),ANKLESHWAR,MOBILIO DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),ANKLESHWAR,MOBILIO PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),ANKLESHWAR,WR-V DE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),ANKLESHWAR,WR-V PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Abgila,AMAZE Diesel,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Abhayapuri,CITY PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Abhayapuri,WR-V PE,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Abiramam,AMAZE Diesel,,,,21
06,2021,Adver. (TVC/Print/Hoarding/FM),Abiramam,AMAZE Petrol,,,,21
